first_name,last_name,date_of_birth,email,phone_number,hire_date,staff_type
Lory,Gettings,17/05/1972,lgettings0@guardian.co.uk,+86 630 243 2073,11/04/1964,Nurse
Nina,Capey,08/04/1981,ncapey1@quantcast.com,+502 260 755 8631,07/05/1984,Administrative Staff
Vallie,Flintiff,24/12/1985,vflintiff2@skype.com,+55 818 814 9949,09/05/1982,Doctor
Casper,Shiers,09/05/1972,cshiers3@google.ca,+351 359 975 5251,15/11/1977,Administrative Staff
Jerald,Minghetti,13/10/1986,jminghetti4@utexas.edu,+62 122 451 9726,25/10/1972,Administrative Staff
Antonino,Ick,27/12/1973,aick5@soundcloud.com,+86 497 538 6416,15/05/1983,Doctor
Melisse,Camsey,22/11/1947,mcamsey6@elpais.com,+46 566 631 5359,25/06/1986,Nurse
Ulla,Howship,27/03/1984,uhowship7@earthlink.net,+92 136 947 2340,25/09/1980,Nurse
Raymund,Guerri,14/05/1961,rguerri8@aboutads.info,+81 438 753 2395,30/04/1944,Doctor
Ginger,Buston,05/03/1974,gbuston9@gov.uk,+234 439 977 3668,02/02/1979,Nurse
Tasia,Vanyashkin,11/01/1952,tvanyashkina@de.vu,+86 179 215 3304,25/05/1990,Doctor
Helsa,Hirth,11/05/1999,hhirthb@npr.org,+358 267 490 9054,24/06/1976,Nurse
Krista,Thoms,08/02/1981,kthomsc@is.gd,+66 510 786 5038,08/04/2001,Nurse
Abel,Schirach,13/04/1952,aschirachd@tmall.com,+93 433 939 6023,31/12/1960,Nurse
Gwenneth,Petrillo,30/11/1944,gpetrilloe@berkeley.edu,+62 680 311 2695,02/05/1965,Nurse
Darrel,Blackaller,24/01/1978,dblackallerf@answers.com,+62 192 868 5635,31/10/1989,Nurse
Redford,Kleingrub,14/01/1976,rkleingrubg@google.ru,+92 352 712 7225,21/04/1992,Administrative Staff
Tersina,Oldham,30/05/1997,toldhamh@google.co.jp,+377 762 421 3577,10/07/1988,Nurse
Winnah,Frude,13/03/1942,wfrudei@hud.gov,+86 155 724 4331,16/02/1949,Administrative Staff
Joye,Schruyers,06/10/1970,jschruyersj@tiny.cc,+33 716 251 1684,09/04/1980,Administrative Staff
Beatrice,Schwander,01/01/1963,bschwanderk@istockphoto.com,+63 221 564 9420,07/09/1968,Nurse
Rafaello,Joblin,23/07/1959,rjoblinl@blinklist.com,+48 305 295 7189,21/02/1982,Doctor
Gena,Norker,26/08/1983,gnorkerm@howstuffworks.com,+994 980 804 0775,14/12/1995,Doctor
Minda,Speir,02/03/1975,mspeirn@tinyurl.com,+86 893 583 3125,11/06/1946,Nurse
Jeth,Pibworth,08/08/1945,jpibwortho@apache.org,+375 802 457 9906,03/05/1964,Doctor
Hildy,Sleith,19/04/1948,hsleithp@desdev.cn,+55 190 176 9927,08/12/2001,Nurse
Charmion,Jentgens,19/07/1990,cjentgensq@mashable.com,+62 952 443 7365,19/10/1977,Nurse
